127.0.0.1 - - [26/Jun/2024:10:12:56 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [26/Jun/2024:10:13:45 +0700] "GET /project_ql_kh/resources/design/assets/css/login.css HTTP/1.1" 200 2851
0:0:0:0:0:0:0:1 - - [26/Jun/2024:10:13:45 +0700] "GET /project_ql_kh/resources/design/assets/css/base.css HTTP/1.1" 200 2186
0:0:0:0:0:0:0:1 - - [26/Jun/2024:10:13:55 +0700] "GET /project_ql_kh/login HTTP/1.1" 200 1810
0:0:0:0:0:0:0:1 - - [26/Jun/2024:10:13:55 +0700] "GET /project_ql_kh/resources/design/assets/css/login.css HTTP/1.1" 200 2851
0:0:0:0:0:0:0:1 - - [26/Jun/2024:10:13:55 +0700] "GET /project_ql_kh/resources/design/assets/css/base.css HTTP/1.1" 200 2186
0:0:0:0:0:0:0:1 - - [26/Jun/2024:10:14:08 +0700] "POST /project_ql_kh/loginProcess HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Jun/2024:10:14:08 +0700] "GET /project_ql_kh/checkrole HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Jun/2024:10:14:08 +0700] "GET /project_ql_kh/user/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Jun/2024:10:14:09 +0700] "GET /project_ql_kh/viewKhachHang/ HTTP/1.1" 200 8309
0:0:0:0:0:0:0:1 - - [26/Jun/2024:10:14:09 +0700] "GET /project_ql_kh/resources/design/assets/fonts/themify-icons/themify-icons.css HTTP/1.1" 200 16435
0:0:0:0:0:0:0:1 - - [26/Jun/2024:10:14:09 +0700] "GET /project_ql_kh/resources/design/assets/fonts/fontawesome-free-6.4.2/fontawesome-free-6.4.2/css/all.css HTTP/1.1" 200 140292
0:0:0:0:0:0:0:1 - - [26/Jun/2024:10:14:09 +0700] "GET /project_ql_kh/resources/design/assets/css/base.css HTTP/1.1" 200 2186
0:0:0:0:0:0:0:1 - - [26/Jun/2024:10:14:09 +0700] "GET /project_ql_kh/viewKhachHang/assets/img/logo/check.png HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [26/Jun/2024:10:14:09 +0700] "GET /project_ql_kh/resources/design/assets/css/home.css HTTP/1.1" 200 9052
0:0:0:0:0:0:0:1 - - [26/Jun/2024:10:14:09 +0700] "GET /project_ql_kh/resources/images/avatar.webp HTTP/1.1" 200 360172
0:0:0:0:0:0:0:1 - - [26/Jun/2024:10:14:09 +0700] "GET /project_ql_kh/resources/design/assets/fonts/fontawesome-free-6.4.2/fontawesome-free-6.4.2/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 150020
0:0:0:0:0:0:0:1 - - [26/Jun/2024:10:14:18 +0700] "GET /project_ql_kh/viewKhachHang/homeSanPham HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Jun/2024:10:14:18 +0700] "GET /project_ql_kh/viewSanpham/ HTTP/1.1" 200 9271
0:0:0:0:0:0:0:1 - - [26/Jun/2024:10:14:18 +0700] "GET /project_ql_kh/resources/design/assets/css/home.css HTTP/1.1" 200 9052
0:0:0:0:0:0:0:1 - - [26/Jun/2024:10:14:18 +0700] "GET /project_ql_kh/resources/design/assets/fonts/fontawesome-free-6.4.2/fontawesome-free-6.4.2/css/all.css HTTP/1.1" 200 140292
0:0:0:0:0:0:0:1 - - [26/Jun/2024:10:14:18 +0700] "GET /project_ql_kh/resources/design/assets/css/base.css HTTP/1.1" 200 2186
0:0:0:0:0:0:0:1 - - [26/Jun/2024:10:14:18 +0700] "GET /project_ql_kh/resources/design/assets/fonts/themify-icons/themify-icons.css HTTP/1.1" 200 16435
0:0:0:0:0:0:0:1 - - [26/Jun/2024:10:14:18 +0700] "GET /project_ql_kh/viewSanpham/assets/img/logo/check.png HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [26/Jun/2024:10:14:18 +0700] "GET /project_ql_kh/resources/images/avatar.webp HTTP/1.1" 200 360172
0:0:0:0:0:0:0:1 - - [26/Jun/2024:10:14:18 +0700] "GET /project_ql_kh/resources/design/assets/fonts/fontawesome-free-6.4.2/fontawesome-free-6.4.2/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 150020
0:0:0:0:0:0:0:1 - - [26/Jun/2024:10:14:19 +0700] "GET /project_ql_kh/viewSanpham/homeSPSuDung HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Jun/2024:10:14:20 +0700] "GET /project_ql_kh/viewSPSuDung/ HTTP/1.1" 200 7621
0:0:0:0:0:0:0:1 - - [26/Jun/2024:10:14:20 +0700] "GET /project_ql_kh/resources/design/assets/css/base.css HTTP/1.1" 200 2186
0:0:0:0:0:0:0:1 - - [26/Jun/2024:10:14:20 +0700] "GET /project_ql_kh/resources/design/assets/fonts/fontawesome-free-6.4.2/fontawesome-free-6.4.2/css/all.css HTTP/1.1" 200 140292
0:0:0:0:0:0:0:1 - - [26/Jun/2024:10:14:20 +0700] "GET /project_ql_kh/resources/design/assets/css/home.css HTTP/1.1" 200 9052
0:0:0:0:0:0:0:1 - - [26/Jun/2024:10:14:20 +0700] "GET /project_ql_kh/resources/design/assets/fonts/themify-icons/themify-icons.css HTTP/1.1" 200 16435
0:0:0:0:0:0:0:1 - - [26/Jun/2024:10:14:20 +0700] "GET /project_ql_kh/resources/images/avatar.webp HTTP/1.1" 200 360172
0:0:0:0:0:0:0:1 - - [26/Jun/2024:10:14:20 +0700] "GET /project_ql_kh/viewSPSuDung/assets/img/logo/check.png HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [26/Jun/2024:10:14:20 +0700] "GET /project_ql_kh/resources/design/assets/fonts/fontawesome-free-6.4.2/fontawesome-free-6.4.2/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 150020
0:0:0:0:0:0:0:1 - - [26/Jun/2024:10:14:21 +0700] "GET /project_ql_kh/viewSPSuDung/homeHopDong HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Jun/2024:10:14:22 +0700] "GET /project_ql_kh/viewHopDong/ HTTP/1.1" 200 9336
0:0:0:0:0:0:0:1 - - [26/Jun/2024:10:14:22 +0700] "GET /project_ql_kh/resources/design/assets/fonts/themify-icons/themify-icons.css HTTP/1.1" 200 16435
0:0:0:0:0:0:0:1 - - [26/Jun/2024:10:14:22 +0700] "GET /project_ql_kh/resources/design/assets/fonts/fontawesome-free-6.4.2/fontawesome-free-6.4.2/css/all.css HTTP/1.1" 200 140292
0:0:0:0:0:0:0:1 - - [26/Jun/2024:10:14:22 +0700] "GET /project_ql_kh/resources/design/assets/css/home.css HTTP/1.1" 200 9052
0:0:0:0:0:0:0:1 - - [26/Jun/2024:10:14:22 +0700] "GET /project_ql_kh/resources/images/avatar.webp HTTP/1.1" 200 360172
0:0:0:0:0:0:0:1 - - [26/Jun/2024:10:14:22 +0700] "GET /project_ql_kh/viewHopDong/assets/img/logo/check.png HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [26/Jun/2024:10:14:22 +0700] "GET /project_ql_kh/resources/design/assets/css/base.css HTTP/1.1" 200 2186
0:0:0:0:0:0:0:1 - - [26/Jun/2024:10:14:22 +0700] "GET /project_ql_kh/resources/design/assets/fonts/fontawesome-free-6.4.2/fontawesome-free-6.4.2/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 150020
0:0:0:0:0:0:0:1 - - [26/Jun/2024:10:14:23 +0700] "GET /project_ql_kh/viewHopDong/homeHoaDon HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Jun/2024:10:14:24 +0700] "GET /project_ql_kh/viewHoaDon/ HTTP/1.1" 200 8991
0:0:0:0:0:0:0:1 - - [26/Jun/2024:10:14:24 +0700] "GET /project_ql_kh/resources/design/assets/css/base.css HTTP/1.1" 200 2186
0:0:0:0:0:0:0:1 - - [26/Jun/2024:10:14:24 +0700] "GET /project_ql_kh/viewHoaDon/assets/img/logo/check.png HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [26/Jun/2024:10:14:24 +0700] "GET /project_ql_kh/resources/design/assets/css/home.css HTTP/1.1" 200 9052
0:0:0:0:0:0:0:1 - - [26/Jun/2024:10:14:24 +0700] "GET /project_ql_kh/resources/design/assets/fonts/fontawesome-free-6.4.2/fontawesome-free-6.4.2/css/all.css HTTP/1.1" 200 140292
0:0:0:0:0:0:0:1 - - [26/Jun/2024:10:14:24 +0700] "GET /project_ql_kh/resources/design/assets/fonts/themify-icons/themify-icons.css HTTP/1.1" 200 16435
0:0:0:0:0:0:0:1 - - [26/Jun/2024:10:14:24 +0700] "GET /project_ql_kh/resources/images/avatar.webp HTTP/1.1" 200 360172
0:0:0:0:0:0:0:1 - - [26/Jun/2024:10:14:24 +0700] "GET /project_ql_kh/resources/design/assets/fonts/fontawesome-free-6.4.2/fontawesome-free-6.4.2/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 150020
0:0:0:0:0:0:0:1 - - [26/Jun/2024:10:40:05 +0700] "GET /project_ql_kh/viewHoaDon/homeKhachHang HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Jun/2024:10:40:05 +0700] "GET /project_ql_kh/viewKhachHang/ HTTP/1.1" 200 8309
0:0:0:0:0:0:0:1 - - [26/Jun/2024:10:40:05 +0700] "GET /project_ql_kh/resources/design/assets/fonts/themify-icons/themify-icons.css HTTP/1.1" 200 16435
0:0:0:0:0:0:0:1 - - [26/Jun/2024:10:40:05 +0700] "GET /project_ql_kh/resources/design/assets/css/home.css HTTP/1.1" 200 9052
0:0:0:0:0:0:0:1 - - [26/Jun/2024:10:40:05 +0700] "GET /project_ql_kh/viewKhachHang/assets/img/logo/check.png HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [26/Jun/2024:10:40:05 +0700] "GET /project_ql_kh/resources/design/assets/fonts/fontawesome-free-6.4.2/fontawesome-free-6.4.2/css/all.css HTTP/1.1" 200 140292
0:0:0:0:0:0:0:1 - - [26/Jun/2024:10:40:05 +0700] "GET /project_ql_kh/resources/design/assets/css/base.css HTTP/1.1" 200 2186
0:0:0:0:0:0:0:1 - - [26/Jun/2024:10:40:05 +0700] "GET /project_ql_kh/resources/images/avatar.webp HTTP/1.1" 200 360172
0:0:0:0:0:0:0:1 - - [26/Jun/2024:10:40:06 +0700] "GET /project_ql_kh/resources/design/assets/fonts/fontawesome-free-6.4.2/fontawesome-free-6.4.2/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 150020
0:0:0:0:0:0:0:1 - - [26/Jun/2024:10:40:38 +0700] "GET /project_ql_kh/viewKhachHang/hetHanBaoTri?ngayhethan=2024-06-26&iddichvu=3 HTTP/1.1" 200 7271
0:0:0:0:0:0:0:1 - - [26/Jun/2024:10:40:38 +0700] "GET /project_ql_kh/resources/design/assets/fonts/themify-icons/themify-icons.css HTTP/1.1" 200 16435
0:0:0:0:0:0:0:1 - - [26/Jun/2024:10:40:38 +0700] "GET /project_ql_kh/resources/design/assets/fonts/fontawesome-free-6.4.2/fontawesome-free-6.4.2/css/all.css HTTP/1.1" 200 140292
0:0:0:0:0:0:0:1 - - [26/Jun/2024:10:40:38 +0700] "GET /project_ql_kh/resources/design/assets/css/home.css HTTP/1.1" 200 9052
0:0:0:0:0:0:0:1 - - [26/Jun/2024:10:40:38 +0700] "GET /project_ql_kh/resources/images/avatar.webp HTTP/1.1" 200 360172
0:0:0:0:0:0:0:1 - - [26/Jun/2024:10:40:38 +0700] "GET /project_ql_kh/viewKhachHang/assets/img/logo/check.png HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [26/Jun/2024:10:40:38 +0700] "GET /project_ql_kh/resources/design/assets/css/base.css HTTP/1.1" 200 2186
0:0:0:0:0:0:0:1 - - [26/Jun/2024:10:40:38 +0700] "GET /project_ql_kh/resources/design/assets/fonts/fontawesome-free-6.4.2/fontawesome-free-6.4.2/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 150020
0:0:0:0:0:0:0:1 - - [26/Jun/2024:10:40:42 +0700] "GET /project_ql_kh/viewKhachHang/hetHanBaoTri?ngayhethan=2024-06-06&iddichvu=0 HTTP/1.1" 200 8515
0:0:0:0:0:0:0:1 - - [26/Jun/2024:10:40:42 +0700] "GET /project_ql_kh/resources/design/assets/fonts/themify-icons/themify-icons.css HTTP/1.1" 200 16435
0:0:0:0:0:0:0:1 - - [26/Jun/2024:10:40:42 +0700] "GET /project_ql_kh/resources/design/assets/fonts/fontawesome-free-6.4.2/fontawesome-free-6.4.2/css/all.css HTTP/1.1" 200 140292
0:0:0:0:0:0:0:1 - - [26/Jun/2024:10:40:42 +0700] "GET /project_ql_kh/resources/design/assets/css/base.css HTTP/1.1" 200 2186
0:0:0:0:0:0:0:1 - - [26/Jun/2024:10:40:42 +0700] "GET /project_ql_kh/resources/design/assets/css/home.css HTTP/1.1" 200 9052
0:0:0:0:0:0:0:1 - - [26/Jun/2024:10:40:42 +0700] "GET /project_ql_kh/viewKhachHang/assets/img/logo/check.png HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [26/Jun/2024:10:40:42 +0700] "GET /project_ql_kh/resources/images/avatar.webp HTTP/1.1" 200 360172
0:0:0:0:0:0:0:1 - - [26/Jun/2024:10:40:42 +0700] "GET /project_ql_kh/resources/design/assets/fonts/fontawesome-free-6.4.2/fontawesome-free-6.4.2/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 150020
0:0:0:0:0:0:0:1 - - [26/Jun/2024:10:40:54 +0700] "GET /project_ql_kh/viewKhachHang/timKhachHang?tenkh=Kh%C3%A1ch+h%C3%A0ng+4&diachikh=An+Giang&sodtkh=0000000000 HTTP/1.1" 200 7447
0:0:0:0:0:0:0:1 - - [26/Jun/2024:10:40:54 +0700] "GET /project_ql_kh/resources/design/assets/fonts/fontawesome-free-6.4.2/fontawesome-free-6.4.2/css/all.css HTTP/1.1" 200 140292
0:0:0:0:0:0:0:1 - - [26/Jun/2024:10:40:54 +0700] "GET /project_ql_kh/resources/design/assets/css/home.css HTTP/1.1" 200 9052
0:0:0:0:0:0:0:1 - - [26/Jun/2024:10:40:54 +0700] "GET /project_ql_kh/viewKhachHang/assets/img/logo/check.png HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [26/Jun/2024:10:40:54 +0700] "GET /project_ql_kh/resources/design/assets/css/base.css HTTP/1.1" 200 2186
0:0:0:0:0:0:0:1 - - [26/Jun/2024:10:40:54 +0700] "GET /project_ql_kh/resources/images/avatar.webp HTTP/1.1" 200 360172
0:0:0:0:0:0:0:1 - - [26/Jun/2024:10:40:54 +0700] "GET /project_ql_kh/resources/design/assets/fonts/themify-icons/themify-icons.css HTTP/1.1" 200 16435
0:0:0:0:0:0:0:1 - - [26/Jun/2024:10:40:54 +0700] "GET /project_ql_kh/resources/design/assets/fonts/fontawesome-free-6.4.2/fontawesome-free-6.4.2/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 150020
0:0:0:0:0:0:0:1 - - [26/Jun/2024:10:40:56 +0700] "GET /project_ql_kh/viewKhachHang/homeKhachHang HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Jun/2024:10:40:56 +0700] "GET /project_ql_kh/viewKhachHang/ HTTP/1.1" 200 8309
0:0:0:0:0:0:0:1 - - [26/Jun/2024:10:40:56 +0700] "GET /project_ql_kh/resources/design/assets/fonts/themify-icons/themify-icons.css HTTP/1.1" 200 16435
0:0:0:0:0:0:0:1 - - [26/Jun/2024:10:40:56 +0700] "GET /project_ql_kh/resources/design/assets/css/home.css HTTP/1.1" 200 9052
0:0:0:0:0:0:0:1 - - [26/Jun/2024:10:40:56 +0700] "GET /project_ql_kh/resources/images/avatar.webp HTTP/1.1" 200 360172
0:0:0:0:0:0:0:1 - - [26/Jun/2024:10:40:56 +0700] "GET /project_ql_kh/viewKhachHang/assets/img/logo/check.png HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [26/Jun/2024:10:40:56 +0700] "GET /project_ql_kh/resources/design/assets/fonts/fontawesome-free-6.4.2/fontawesome-free-6.4.2/css/all.css HTTP/1.1" 200 140292
0:0:0:0:0:0:0:1 - - [26/Jun/2024:10:40:56 +0700] "GET /project_ql_kh/resources/design/assets/css/base.css HTTP/1.1" 200 2186
0:0:0:0:0:0:0:1 - - [26/Jun/2024:10:40:56 +0700] "GET /project_ql_kh/resources/design/assets/fonts/fontawesome-free-6.4.2/fontawesome-free-6.4.2/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 150020
0:0:0:0:0:0:0:1 - - [26/Jun/2024:14:31:02 +0700] "GET /project_ql_kh/viewKhachHang/ HTTP/1.1" 500 14172
0:0:0:0:0:0:0:1 - - [26/Jun/2024:14:31:04 +0700] "GET /project_ql_kh/viewKhachHang/timKhachHang?tenkh=Kh%C3%A1ch+h%C3%A0ng+4&diachikh=An+Giang&sodtkh=0000000000 HTTP/1.1" 500 14180
0:0:0:0:0:0:0:1 - - [26/Jun/2024:14:31:05 +0700] "GET /project_ql_kh/viewKhachHang/timKhachHang?tenkh=Kh%C3%A1ch+h%C3%A0ng+4&diachikh=An+Giang&sodtkh=0000000000 HTTP/1.1" 500 14180
0:0:0:0:0:0:0:1 - - [26/Jun/2024:14:31:15 +0700] "GET /project_ql_kh/ HTTP/1.1" 200 4357
0:0:0:0:0:0:0:1 - - [26/Jun/2024:14:31:15 +0700] "GET /project_ql_kh/resources/design/assets/css/main.css HTTP/1.1" 200 3083
0:0:0:0:0:0:0:1 - - [26/Jun/2024:14:31:15 +0700] "GET /project_ql_kh/resources/design/assets/css/base.css HTTP/1.1" 200 2186
0:0:0:0:0:0:0:1 - - [26/Jun/2024:14:31:15 +0700] "GET /project_ql_kh/resources/design/assets/fonts/fontawesome-free-6.4.2/fontawesome-free-6.4.2/css/all.css HTTP/1.1" 200 140292
0:0:0:0:0:0:0:1 - - [26/Jun/2024:14:31:15 +0700] "GET /project_ql_kh/resources/design/assets/fonts/themify-icons/themify-icons.css HTTP/1.1" 200 16435
0:0:0:0:0:0:0:1 - - [26/Jun/2024:14:31:15 +0700] "GET /project_ql_kh/resources/design/assets/img/introduce/introducemain.png HTTP/1.1" 200 149532
0:0:0:0:0:0:0:1 - - [26/Jun/2024:14:31:15 +0700] "GET /project_ql_kh/resources/design/assets/img/introduce/introduce2.png HTTP/1.1" 200 161332
0:0:0:0:0:0:0:1 - - [26/Jun/2024:14:31:15 +0700] "GET /project_ql_kh/resources/design/assets/img/introduce/introduce1.png HTTP/1.1" 200 637675
0:0:0:0:0:0:0:1 - - [26/Jun/2024:14:31:18 +0700] "GET /project_ql_kh/login HTTP/1.1" 200 1810
0:0:0:0:0:0:0:1 - - [26/Jun/2024:14:31:18 +0700] "GET /project_ql_kh/resources/design/assets/css/base.css HTTP/1.1" 200 2186
0:0:0:0:0:0:0:1 - - [26/Jun/2024:14:31:18 +0700] "GET /project_ql_kh/resources/design/assets/css/login.css HTTP/1.1" 200 2851
0:0:0:0:0:0:0:1 - - [26/Jun/2024:14:31:24 +0700] "POST /project_ql_kh/loginProcess HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Jun/2024:14:31:24 +0700] "GET /project_ql_kh/checkrole HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Jun/2024:14:31:24 +0700] "GET /project_ql_kh/user/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Jun/2024:14:31:24 +0700] "GET /project_ql_kh/viewKhachHang/ HTTP/1.1" 200 8309
0:0:0:0:0:0:0:1 - - [26/Jun/2024:14:31:24 +0700] "GET /project_ql_kh/viewKhachHang/assets/img/logo/check.png HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [26/Jun/2024:14:31:24 +0700] "GET /project_ql_kh/resources/design/assets/fonts/fontawesome-free-6.4.2/fontawesome-free-6.4.2/css/all.css HTTP/1.1" 200 140292
0:0:0:0:0:0:0:1 - - [26/Jun/2024:14:31:24 +0700] "GET /project_ql_kh/resources/design/assets/css/base.css HTTP/1.1" 200 2186
0:0:0:0:0:0:0:1 - - [26/Jun/2024:14:31:24 +0700] "GET /project_ql_kh/resources/design/assets/css/home.css HTTP/1.1" 200 9052
0:0:0:0:0:0:0:1 - - [26/Jun/2024:14:31:24 +0700] "GET /project_ql_kh/resources/design/assets/fonts/themify-icons/themify-icons.css HTTP/1.1" 200 16435
0:0:0:0:0:0:0:1 - - [26/Jun/2024:14:31:24 +0700] "GET /project_ql_kh/resources/images/avatar.webp HTTP/1.1" 200 360172
0:0:0:0:0:0:0:1 - - [26/Jun/2024:14:31:24 +0700] "GET /project_ql_kh/resources/design/assets/fonts/fontawesome-free-6.4.2/fontawesome-free-6.4.2/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 150020
0:0:0:0:0:0:0:1 - - [26/Jun/2024:14:36:12 +0700] "GET /project_ql_kh/viewKhachHang/?page=1 HTTP/1.1" 200 8309
0:0:0:0:0:0:0:1 - - [26/Jun/2024:14:36:12 +0700] "GET /project_ql_kh/viewKhachHang/assets/img/logo/check.png HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [26/Jun/2024:14:36:12 +0700] "GET /project_ql_kh/resources/design/assets/fonts/fontawesome-free-6.4.2/fontawesome-free-6.4.2/css/all.css HTTP/1.1" 200 140292
0:0:0:0:0:0:0:1 - - [26/Jun/2024:14:36:12 +0700] "GET /project_ql_kh/resources/design/assets/css/home.css HTTP/1.1" 200 9052
0:0:0:0:0:0:0:1 - - [26/Jun/2024:14:36:12 +0700] "GET /project_ql_kh/resources/images/avatar.webp HTTP/1.1" 200 360172
0:0:0:0:0:0:0:1 - - [26/Jun/2024:14:36:12 +0700] "GET /project_ql_kh/resources/design/assets/css/base.css HTTP/1.1" 200 2186
0:0:0:0:0:0:0:1 - - [26/Jun/2024:14:36:12 +0700] "GET /project_ql_kh/resources/design/assets/fonts/themify-icons/themify-icons.css HTTP/1.1" 200 16435
0:0:0:0:0:0:0:1 - - [26/Jun/2024:14:36:12 +0700] "GET /project_ql_kh/resources/design/assets/fonts/fontawesome-free-6.4.2/fontawesome-free-6.4.2/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 150020
0:0:0:0:0:0:0:1 - - [26/Jun/2024:14:36:13 +0700] "GET /project_ql_kh/viewKhachHang/?page=2 HTTP/1.1" 200 8313
0:0:0:0:0:0:0:1 - - [26/Jun/2024:14:36:13 +0700] "GET /project_ql_kh/resources/design/assets/fonts/fontawesome-free-6.4.2/fontawesome-free-6.4.2/css/all.css HTTP/1.1" 200 140292
0:0:0:0:0:0:0:1 - - [26/Jun/2024:14:36:13 +0700] "GET /project_ql_kh/resources/design/assets/css/base.css HTTP/1.1" 200 2186
0:0:0:0:0:0:0:1 - - [26/Jun/2024:14:36:13 +0700] "GET /project_ql_kh/viewKhachHang/assets/img/logo/check.png HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [26/Jun/2024:14:36:13 +0700] "GET /project_ql_kh/resources/images/avatar.webp HTTP/1.1" 200 360172
0:0:0:0:0:0:0:1 - - [26/Jun/2024:14:36:13 +0700] "GET /project_ql_kh/resources/design/assets/fonts/themify-icons/themify-icons.css HTTP/1.1" 200 16435
0:0:0:0:0:0:0:1 - - [26/Jun/2024:14:36:13 +0700] "GET /project_ql_kh/resources/design/assets/css/home.css HTTP/1.1" 200 9052
0:0:0:0:0:0:0:1 - - [26/Jun/2024:14:36:13 +0700] "GET /project_ql_kh/resources/design/assets/fonts/fontawesome-free-6.4.2/fontawesome-free-6.4.2/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 150020
0:0:0:0:0:0:0:1 - - [26/Jun/2024:14:36:14 +0700] "GET /project_ql_kh/viewKhachHang/?page=3 HTTP/1.1" 200 8321
0:0:0:0:0:0:0:1 - - [26/Jun/2024:14:36:14 +0700] "GET /project_ql_kh/resources/images/avatar.webp HTTP/1.1" 200 360172
0:0:0:0:0:0:0:1 - - [26/Jun/2024:14:36:14 +0700] "GET /project_ql_kh/resources/design/assets/fonts/themify-icons/themify-icons.css HTTP/1.1" 200 16435
0:0:0:0:0:0:0:1 - - [26/Jun/2024:14:36:14 +0700] "GET /project_ql_kh/resources/design/assets/fonts/fontawesome-free-6.4.2/fontawesome-free-6.4.2/css/all.css HTTP/1.1" 200 140292
0:0:0:0:0:0:0:1 - - [26/Jun/2024:14:36:14 +0700] "GET /project_ql_kh/viewKhachHang/assets/img/logo/check.png HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [26/Jun/2024:14:36:14 +0700] "GET /project_ql_kh/resources/design/assets/css/base.css HTTP/1.1" 200 2186
0:0:0:0:0:0:0:1 - - [26/Jun/2024:14:36:14 +0700] "GET /project_ql_kh/resources/design/assets/css/home.css HTTP/1.1" 200 9052
0:0:0:0:0:0:0:1 - - [26/Jun/2024:14:36:14 +0700] "GET /project_ql_kh/resources/design/assets/fonts/fontawesome-free-6.4.2/fontawesome-free-6.4.2/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 150020
0:0:0:0:0:0:0:1 - - [26/Jun/2024:14:36:16 +0700] "GET /project_ql_kh/viewKhachHang/?page=2 HTTP/1.1" 200 8313
0:0:0:0:0:0:0:1 - - [26/Jun/2024:14:36:16 +0700] "GET /project_ql_kh/resources/design/assets/css/base.css HTTP/1.1" 200 2186
