0:0:0:0:0:0:0:1 - - [04/Jun/2024:09:47:23 +0700] "GET /project_ql_kh/qlKhachHang/addKhachHang HTTP/1.1" 200 6078
0:0:0:0:0:0:0:1 - - [04/Jun/2024:09:47:23 +0700] "GET /project_ql_kh/resources/design/assets/css/base.css HTTP/1.1" 200 2088
0:0:0:0:0:0:0:1 - - [04/Jun/2024:09:47:23 +0700] "GET /project_ql_kh/qlKhachHang/assets/img/logo/check.png HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [04/Jun/2024:09:47:23 +0700] "GET /project_ql_kh/assets/img/avt/user.png HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [04/Jun/2024:09:47:23 +0700] "GET /project_ql_kh/resources/design/assets/css/detail.css HTTP/1.1" 200 5750
0:0:0:0:0:0:0:1 - - [04/Jun/2024:09:47:23 +0700] "GET /project_ql_kh/resources/design/assets/fonts/fontawesome-free-6.4.2/fontawesome-free-6.4.2/css/all.css HTTP/1.1" 200 140292
0:0:0:0:0:0:0:1 - - [04/Jun/2024:09:47:23 +0700] "GET /project_ql_kh/resources/design/assets/fonts/themify-icons/themify-icons.css HTTP/1.1" 200 16435
0:0:0:0:0:0:0:1 - - [04/Jun/2024:09:47:23 +0700] "GET /project_ql_kh/resources/design/assets/fonts/fontawesome-free-6.4.2/fontawesome-free-6.4.2/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 150020
0:0:0:0:0:0:0:1 - - [04/Jun/2024:09:47:26 +0700] "GET /project_ql_kh/qlKhachHang/addKhachHang HTTP/1.1" 200 6079
0:0:0:0:0:0:0:1 - - [04/Jun/2024:09:47:26 +0700] "GET /project_ql_kh/resources/design/assets/css/detail.css HTTP/1.1" 200 5750
0:0:0:0:0:0:0:1 - - [04/Jun/2024:09:47:26 +0700] "GET /project_ql_kh/resources/design/assets/fonts/themify-icons/themify-icons.css HTTP/1.1" 200 16435
0:0:0:0:0:0:0:1 - - [04/Jun/2024:09:47:26 +0700] "GET /project_ql_kh/resources/design/assets/fonts/fontawesome-free-6.4.2/fontawesome-free-6.4.2/css/all.css HTTP/1.1" 200 140292
0:0:0:0:0:0:0:1 - - [04/Jun/2024:09:47:26 +0700] "GET /project_ql_kh/qlKhachHang/assets/img/logo/check.png HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [04/Jun/2024:09:47:26 +0700] "GET /project_ql_kh/assets/img/avt/user.png HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [04/Jun/2024:09:47:26 +0700] "GET /project_ql_kh/resources/design/assets/css/base.css HTTP/1.1" 200 2088
0:0:0:0:0:0:0:1 - - [04/Jun/2024:09:47:26 +0700] "GET /project_ql_kh/resources/design/assets/fonts/fontawesome-free-6.4.2/fontawesome-free-6.4.2/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 150020
0:0:0:0:0:0:0:1 - - [04/Jun/2024:09:47:27 +0700] "GET /project_ql_kh/qlKhachHang/addKhachHang HTTP/1.1" 200 6079
0:0:0:0:0:0:0:1 - - [04/Jun/2024:09:47:27 +0700] "GET /project_ql_kh/resources/design/assets/fonts/fontawesome-free-6.4.2/fontawesome-free-6.4.2/css/all.css HTTP/1.1" 200 140292
0:0:0:0:0:0:0:1 - - [04/Jun/2024:09:47:27 +0700] "GET /project_ql_kh/qlKhachHang/assets/img/logo/check.png HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [04/Jun/2024:09:47:27 +0700] "GET /project_ql_kh/resources/design/assets/css/detail.css HTTP/1.1" 200 5750
0:0:0:0:0:0:0:1 - - [04/Jun/2024:09:47:27 +0700] "GET /project_ql_kh/assets/img/avt/user.png HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [04/Jun/2024:09:47:27 +0700] "GET /project_ql_kh/resources/design/assets/css/base.css HTTP/1.1" 200 2088
0:0:0:0:0:0:0:1 - - [04/Jun/2024:09:47:27 +0700] "GET /project_ql_kh/resources/design/assets/fonts/themify-icons/themify-icons.css HTTP/1.1" 200 16435
0:0:0:0:0:0:0:1 - - [04/Jun/2024:09:47:27 +0700] "GET /project_ql_kh/resources/design/assets/fonts/fontawesome-free-6.4.2/fontawesome-free-6.4.2/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 150020
0:0:0:0:0:0:0:1 - - [04/Jun/2024:09:47:35 +0700] "GET /project_ql_kh/viewKhachHang/ HTTP/1.1" 200 7942
0:0:0:0:0:0:0:1 - - [04/Jun/2024:09:47:35 +0700] "GET /project_ql_kh/viewKhachHang/assets/img/logo/check.png HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [04/Jun/2024:09:47:35 +0700] "GET /project_ql_kh/resources/design/assets/fonts/fontawesome-free-6.4.2/fontawesome-free-6.4.2/css/all.css HTTP/1.1" 200 140292
0:0:0:0:0:0:0:1 - - [04/Jun/2024:09:47:35 +0700] "GET /project_ql_kh/resources/design/assets/fonts/themify-icons/themify-icons.css HTTP/1.1" 200 16435
0:0:0:0:0:0:0:1 - - [04/Jun/2024:09:47:35 +0700] "GET /project_ql_kh/resources/design/assets/css/home.css HTTP/1.1" 200 8505
